,Date,Stock_Code,Stock_Name,Shareholding,Shareholding_Percent
5, 2021/01/26,90009,上海機場,"261,040,124",23.87
1839, 2021/01/26,77012,華測檢測,"360,873,758",21.62
1986, 2021/01/26,77285,國瓷材料,"198,356,401",19.76
1646, 2021/01/26,72572,索菲亞,"169,024,764",18.52
1083, 2021/01/26,70651,格力電器,"1,086,779,811",18.06
703, 2021/01/26,91901,方正證券,"1,471,780,928",17.87
1638, 2021/01/26,72557,洽洽食品,"87,854,210",17.32
824, 2021/01/26,93489,八方股份,"11,867,195",16.62
894, 2021/01/26,93786,科博達,"6,660,572",16.6
116, 2021/01/26,90201,生物股份,"185,657,600",16.57
2072, 2021/01/26,77450,先導智能,"148,106,940",16.32
1264, 2021/01/26,72008,大族激光,"167,473,557",15.69
1561, 2021/01/26,72439,啟明星辰,"144,869,440",15.51
997, 2021/01/26,70333,美的集團,"1,064,703,644",15.12
998, 2021/01/26,70338,濰柴動力,"885,518,340",14.78
1442, 2021/01/26,72271,東方雨虹,"346,605,305",14.76
502, 2021/01/26,90885,宏發股份,"109,325,152",14.67
2026, 2021/01/26,77347,泰格醫藥,"109,442,658",14.6
888, 2021/01/26,93737,三棵樹,"36,064,000",13.83
1607, 2021/01/26,72508,老闆電器,"127,945,214",13.48
1745, 2021/01/26,72747,埃斯頓,"109,752,964",13.06
223, 2021/01/26,90406,國電南瑞,"578,054,156",12.61
148, 2021/01/26,90276,恆瑞醫藥,"665,514,868",12.54
493, 2021/01/26,90872,中炬高新,"99,600,594",12.5
587, 2021/01/26,91138,工業富聯,"361,418,870",12.46
504, 2021/01/26,90887,伊利股份,"737,844,138",12.44
887, 2021/01/26,93733,仙鶴股份,"18,901,155",12.11
1500, 2021/01/26,72353,傑瑞股份,"113,795,164",11.88
1967, 2021/01/26,77244,迪安診斷,"71,660,539",11.54
913, 2021/01/26,93882,金域醫學,"51,501,499",11.2
575, 2021/01/26,91100,恆立液壓,"145,712,491",11.16
1536, 2021/01/26,72410,廣聯達,"129,284,430",10.89
161, 2021/01/26,90298,安琪酵母,"88,865,329",10.78
1278, 2021/01/26,72027,分眾傳媒,"1,581,619,539",10.77
784, 2021/01/26,93259,藥明康得,"151,708,240",10.73
166, 2021/01/26,90309,萬華化學,"151,922,071",10.67
1767, 2021/01/26,72812,恩捷股份,"93,722,284",10.56
927, 2021/01/26,93939,益豐藥房,"54,081,913",10.49
882, 2021/01/26,93713,密爾克衛,"7,056,420",10.28
699, 2021/01/26,91888,中國國旅,"196,850,011",10.08
943, 2021/01/26,70001,平安銀行,"1,937,252,083",9.98
475, 2021/01/26,90835,上海機電,"78,174,958",9.69
781, 2021/01/26,93236,移遠通信,"6,829,608",9.61
801, 2021/01/26,93338,浙江鼎力,"46,424,849",9.56
322, 2021/01/26,90585,海螺水泥,"379,034,565",9.47
1720, 2021/01/26,72690,美亞光電,"63,893,257",9.45
394, 2021/01/26,90699,均勝電子,"116,770,765",9.43
1902, 2021/01/26,77124,匯川技術,"161,794,305",9.4
2002, 2021/01/26,77308,中際旭創,"65,506,805",9.18
23, 2021/01/26,90031,三一重工,"768,180,994",9.06
645, 2021/01/26,91598,中國外運,"122,058,241",9.03
573, 2021/01/26,91098,中南傳媒,"161,293,017",8.98
1007, 2021/01/26,70423,東阿阿膠,"56,997,110",8.71
1298, 2021/01/26,72050,三花智控,"312,144,307",8.69
851, 2021/01/26,93605,珀萊雅,"17,342,985",8.64
559, 2021/01/26,91012,隆基股份,"324,040,283",8.59
1251, 2021/01/26,70999,華潤三九,"82,622,827",8.44
2094, 2021/01/26,77496,中科創達,"35,584,428",8.4
138, 2021/01/26,90258,首旅酒店,"81,429,283",8.31
1053, 2021/01/26,70581,威孚高科,"69,297,174",8.28
651, 2021/01/26,91615,明陽智能,"81,422,063",8.28
443, 2021/01/26,90782,新鋼股份,"261,515,798",8.2
282, 2021/01/26,90519,貴州茅台,"102,423,910",8.15
1781, 2021/01/26,72851,麥格米特,"40,781,995",8.12
1, 2021/01/26,90004,白雲機場,"167,790,582",8.1
1347, 2021/01/26,72127,南極電商,"198,875,668",8.1
1577, 2021/01/26,72463,滬電股份,"139,759,668",8.1
1354, 2021/01/26,72138,順絡電子,"64,604,047",8.01
390, 2021/01/26,90690,海爾智家,"504,641,377",7.99
914, 2021/01/26,93883,老百姓,"32,468,623",7.96
454, 2021/01/26,90803,新奧股份,"97,586,053",7.93
370, 2021/01/26,90660,福耀玻璃,"157,986,452",7.88
1873, 2021/01/26,77073,當升科技,"35,615,689",7.85
1915, 2021/01/26,77146,湯臣倍健,"123,366,325",7.8
21, 2021/01/26,90029,南方航空,"631,528,316",7.78
1210, 2021/01/26,70921,海信家電,"70,084,280",7.76
313, 2021/01/26,90570,恆生電子,"80,708,652",7.73
619, 2021/01/26,91318,中國平安,"835,120,055",7.7
694, 2021/01/26,91877,正泰電器,"164,692,323",7.66
1981, 2021/01/26,77271,華宇軟件,"62,518,743",7.65
690, 2021/01/26,91865,福來特,"33,013,617",7.58
823, 2021/01/26,93486,科沃斯,"13,601,187",7.57
2171, 2021/01/26,77724,捷佳偉創,"24,308,059",7.56
993, 2021/01/26,70157,中聯重科,"491,831,973",7.5
42, 2021/01/26,90066,宇通客車,"163,472,585",7.38
999, 2021/01/26,70400,許繼電氣,"73,201,041",7.25
1392, 2021/01/26,72202,金風科技,"250,310,998",7.25
1830, 2021/01/26,77001,特銳德,"72,311,248",7.24
903, 2021/01/26,93833,歐派家居,"43,304,740",7.19
2162, 2021/01/26,77685,艾德生物,"15,863,274",7.15
1608, 2021/01/26,72511,中順潔柔,"93,899,674",7.15
273, 2021/01/26,90507,方大特鋼,"153,116,414",7.1
1841, 2021/01/26,77015,愛爾眼科,"292,481,766",7.09
1030, 2021/01/26,70538,雲南白藥,"90,509,821",7.08
104, 2021/01/26,90176,中國巨石,"246,398,705",7.03
452, 2021/01/26,90801,華新水泥,"94,733,931",6.95
1586, 2021/01/26,72475,立訊精密,"484,539,577",6.89
82, 2021/01/26,90132,重慶啤酒,"33,172,871",6.85
1983, 2021/01/26,77274,陽光電源,"99,468,367",6.82
841, 2021/01/26,93587,地素時尚,"7,749,755",6.79
2046, 2021/01/26,77383,光環新網,"102,952,345",6.67
922, 2021/01/26,93915,國茂股份,"8,339,855",6.67
13, 2021/01/26,90019,寶鋼股份,"1,480,127,465",6.66
1918, 2021/01/26,77149,量子生物,"33,051,324",6.61
1420, 2021/01/26,72242,九陽股份,"50,565,117",6.59
1143, 2021/01/26,70786,北新建材,"111,211,239",6.58
1119, 2021/01/26,70725,京東方Ａ,"2,216,214,498",6.54
1972, 2021/01/26,77253,衛寧健康,"138,915,697",6.49
416, 2021/01/26,90741,華域汽車,"203,534,976",6.45
677, 2021/01/26,91799,星宇股份,"17,630,401",6.38
1771, 2021/01/26,72831,裕同科技,"59,481,509",6.34
944, 2021/01/26,70002,萬 科Ａ,"611,650,672",6.28
440, 2021/01/26,90779,水井坊,"30,578,369",6.26
789, 2021/01/26,93288,海天味業,"200,329,165",6.18
1419, 2021/01/26,72241,歌爾股份,"203,226,989",6.14
422, 2021/01/26,90754,錦江股份,"48,730,213",6.07
1346, 2021/01/26,72126,銀輪股份,"47,909,743",6.04
1316, 2021/01/26,72080,中材科技,"100,808,142",6.0
825, 2021/01/26,93501,韋爾股份,"46,900,775",5.97
2187, 2021/01/26,77760,邁瑞醫療,"70,799,847",5.82
686, 2021/01/26,91838,成都銀行,"110,431,606",5.82
1178, 2021/01/26,70860,順鑫農業,"42,701,955",5.75
1995, 2021/01/26,77298,三諾生物,"32,441,820",5.73
25, 2021/01/26,90036,招商銀行,"1,182,953,043",5.73
1411, 2021/01/26,72230,科大訊飛,"127,129,686",5.71
237, 2021/01/26,90438,通威股份,"241,835,740",5.64
770, 2021/01/26,93185,上機數控,"4,403,752",5.63
1217, 2021/01/26,70932,華菱鋼鐵,"344,954,594",5.62
490, 2021/01/26,90867,通化東寶,"113,779,119",5.61
2183, 2021/01/26,77750,寧德時代,"130,352,967",5.59
796, 2021/01/26,93317,天味食品,"6,968,345",5.56
1112, 2021/01/26,70710,貝瑞基因,"19,676,622",5.54
1837, 2021/01/26,77010,豆神教育,"47,867,471",5.51
711, 2021/01/26,91939,建設銀行,"526,524,851",5.48
909, 2021/01/26,93871,嘉友國際,"2,995,825",5.45
934, 2021/01/26,93986,兆易創新,"23,815,103",5.42
1513, 2021/01/26,72372,偉星新材,"86,413,053",5.42
1177, 2021/01/26,70858,五 糧 液,"210,241,545",5.41
511, 2021/01/26,90900,長江電力,"1,228,618,758",5.4
828, 2021/01/26,93515,歐普照明,"40,562,739",5.38
290, 2021/01/26,90529,山東藥玻,"31,815,365",5.34
1283, 2021/01/26,72032,蘇 泊 爾,"43,566,681",5.3
1008, 2021/01/26,70425,徐工機械,"415,935,404",5.3
1950, 2021/01/26,77207,欣旺達,"83,225,991",5.28
1512, 2021/01/26,72371,北方華創,"26,175,518",5.27
2181, 2021/01/26,77747,銳科激光,"15,145,331",5.25
164, 2021/01/26,90305,恆順醋業,"52,337,450",5.21
2137, 2021/01/26,77624,萬興科技,"6,758,152",5.2
907, 2021/01/26,93866,桃李麵包,"34,639,727",5.09
865, 2021/01/26,93658,安圖生物,"21,793,835",5.06
2080, 2021/01/26,77463,邁克生物,"28,179,231",5.05
1263, 2021/01/26,72007,華蘭生物,"91,965,994",5.04
1286, 2021/01/26,72035,華帝股份,"43,802,439",5.03
1140, 2021/01/26,70778,新興鑄管,"200,127,704",5.01
1866, 2021/01/26,77059,東方財富,"428,632,002",4.97
852, 2021/01/26,93606,東方電纜,"32,509,128",4.97
1562, 2021/01/26,72440,閏土股份,"56,837,095",4.94
1896, 2021/01/26,77115,長盈精密,"49,199,540",4.91
204, 2021/01/26,90380,健康元,"95,135,909",4.87
108, 2021/01/26,90183,生益科技,"111,683,653",4.87
1770, 2021/01/26,72821,凱萊英,"11,784,133",4.85
1532, 2021/01/26,72405,四維圖新,"95,051,456",4.84
1728, 2021/01/26,72706,良信股份,"38,024,710",4.84
985, 2021/01/26,70089,深圳機場,"97,692,127",4.76
989, 2021/01/26,70100,TCL科技,"653,572,101",4.65
1074, 2021/01/26,70625,長安汽車,"204,724,957",4.58
1695, 2021/01/26,72648,衛星石化,"55,927,739",4.56
586, 2021/01/26,91128,常熟銀行,"118,737,732",4.55
199, 2021/01/26,90373,中文傳媒,"61,574,727",4.54
849, 2021/01/26,93601,再升科技,"32,502,471",4.52
1574, 2021/01/26,72460,贛鋒鋰業,"49,950,224",4.52
901, 2021/01/26,93816,顧家家居,"28,186,560",4.52
1606, 2021/01/26,72507,涪陵榨菜,"35,664,877",4.51
843, 2021/01/26,93589,口子窖,"26,515,852",4.41
1440, 2021/01/26,72268,衛 士 通,"36,994,185",4.41
1114, 2021/01/26,70717,韶鋼松山,"106,417,546",4.39
29, 2021/01/26,90048,保利地產,"522,543,811",4.36
896, 2021/01/26,93799,華友鈷業,"48,234,470",4.35
1025, 2021/01/26,70528,柳 工,"64,334,022",4.35
2186, 2021/01/26,77759,康龍化成,"28,710,877",4.34
1085, 2021/01/26,70656,金科股份,"231,781,851",4.34
109, 2021/01/26,90185,格力地產,"89,286,388",4.33
1619, 2021/01/26,72531,天順風能,"76,697,832",4.31
1017, 2021/01/26,70513,麗珠集團,"26,956,190",4.31
1783, 2021/01/26,72867,周大生,"30,972,374",4.23
1673, 2021/01/26,72614,奧佳華,"26,120,933",4.22
2157, 2021/01/26,77676,華大基因,"16,863,632",4.21
447, 2021/01/26,90787,中儲股份,"92,584,145",4.2
1398, 2021/01/26,72212,天融信,"49,316,877",4.2
319, 2021/01/26,90582,天地科技,"172,804,951",4.17
1737, 2021/01/26,72727,一心堂,"24,775,757",4.16
367, 2021/01/26,90655,豫園股份,"66,791,221",4.16
539, 2021/01/26,90985,淮北礦業,"27,115,988",4.16
1553, 2021/01/26,72430,杭氧股份,"39,956,433",4.14
63, 2021/01/26,90104,上汽集團,"479,062,502",4.1
2155, 2021/01/26,77673,佩蒂股份,"6,958,737",4.09
1450, 2021/01/26,72281,光迅科技,"28,179,243",4.03
1913, 2021/01/26,77144,宋城演藝,"105,317,234",4.02
662, 2021/01/26,91688,華泰證券,"295,568,135",4.01
950, 2021/01/26,70012,南 玻Ａ,"78,623,210",4.0
2149, 2021/01/26,77661,聖邦股份,"6,247,003",3.99
1853, 2021/01/26,77037,新宙邦,"16,292,354",3.96
1644, 2021/01/26,72568,百潤股份,"21,167,567",3.95
1658, 2021/01/26,72594,比亞迪,"71,521,030",3.94
1169, 2021/01/26,70830,魯西化工,"74,873,102",3.93
1589, 2021/01/26,72481,雙塔食品,"48,845,608",3.92
1625, 2021/01/26,72541,鴻路鋼構,"20,396,169",3.89
1545, 2021/01/26,72422,科倫藥業,"56,082,400",3.89
1564, 2021/01/26,72444,巨星科技,"42,487,868",3.86
1414, 2021/01/26,72236,大華股份,"115,552,680",3.85
1382, 2021/01/26,72182,雲海金屬,"24,823,667",3.84
820, 2021/01/26,93444,吉比特,"2,755,605",3.83
479, 2021/01/26,90845,寶信軟件,"31,947,663",3.81
545, 2021/01/26,90993,馬應龍,"16,416,731",3.81
1356, 2021/01/26,72142,寧波銀行,"228,794,181",3.8
2132, 2021/01/26,77607,拓斯達,"10,125,608",3.8
1663, 2021/01/26,72601,龍蟒佰利,"76,874,539",3.78
1123, 2021/01/26,70729,燕京啤酒,"106,262,273",3.77
556, 2021/01/26,91006,大秦鐵路,"556,507,165",3.74
956, 2021/01/26,70028,國藥一致,"13,862,902",3.71
710, 2021/01/26,91933,永輝超市,"351,861,661",3.71
1907, 2021/01/26,77133,華策影視,"65,110,614",3.7
1909, 2021/01/26,77136,信維通信,"35,808,529",3.7
1405, 2021/01/26,72223,魚躍醫療,"37,142,565",3.7
1365, 2021/01/26,72156,通富微電,"49,174,737",3.7
2074, 2021/01/26,77454,深信服,"15,199,174",3.67
866, 2021/01/26,93659,璞泰來,"16,287,551",3.66
1203, 2021/01/26,70910,大亞聖象,"20,014,788",3.65
325, 2021/01/26,90588,用友網絡,"118,709,533",3.65
803, 2021/01/26,93345,"FUJIAN ANJOY FOODS CO.,LTD (A #603345)","8,354,800",3.59
1165, 2021/01/26,70825,太鋼不鏽,"204,910,898",3.59
1722, 2021/01/26,72697,紅旗連鎖,"48,916,486",3.59
1797, 2021/01/26,72920,德賽西威,"19,785,120",3.59
1218, 2021/01/26,70933,神火股份,"80,069,381",3.58
2056, 2021/01/26,77408,三環集團,"65,118,543",3.58
846, 2021/01/26,93596,伯特利,"6,134,006",3.57
2015, 2021/01/26,77327,中穎電子,"9,988,417",3.57
93, 2021/01/26,90160,巨化股份,"96,156,823",3.56
2201, 2021/01/26,77782,卓勝微,"6,390,195",3.55
1680, 2021/01/26,72624,完美世界,"69,025,827",3.55
1725, 2021/01/26,72701,奧瑞金,"85,970,654",3.55
1850, 2021/01/26,77033,同花順,"19,045,272",3.54
921, 2021/01/26,93899,晨光文具,"32,526,955",3.53
607, 2021/01/26,91225,陝西煤業,"353,505,900",3.53
2127, 2021/01/26,77596,利安隆,"7,226,010",3.52
87, 2021/01/26,90143,金發科技,"90,138,849",3.5
1380, 2021/01/26,72179,中航光電,"38,443,257",3.49
668, 2021/01/26,91717,鄭煤機,"51,839,547",3.48
300, 2021/01/26,90549,廈門鎢業,"48,888,437",3.47
1324, 2021/01/26,72092,中泰化學,"74,378,554",3.46
1840, 2021/01/26,77014,億緯鋰能,"64,937,472",3.43
22, 2021/01/26,90030,中信證券,"332,667,053",3.38
187, 2021/01/26,90346,恆力石化,"156,599,508",3.38
1715, 2021/01/26,72677,浙江美大,"21,891,536",3.38
1900, 2021/01/26,77122,智飛生物,"53,955,795",3.37
379, 2021/01/26,90674,川投能源,"148,491,909",3.37
1499, 2021/01/26,72352,順豐控股,"153,621,633",3.37
1509, 2021/01/26,72367,康力電梯,"26,764,574",3.35
89, 2021/01/26,90153,建發股份,"95,099,408",3.35
107, 2021/01/26,90180,瑞茂通,"34,145,380",3.35
152, 2021/01/26,90282,南鋼股份,"148,844,238",3.34
1105, 2021/01/26,70690,寶新能源,"72,425,471",3.32
593, 2021/01/26,91166,興業銀行,"650,939,344",3.31
569, 2021/01/26,91068,中鋁國際,"9,744,119",3.29
2014, 2021/01/26,77326,凱利泰,"23,751,995",3.28
612, 2021/01/26,91233,桐昆股份,"74,828,965",3.27
528, 2021/01/26,90970,中材國際,"56,678,979",3.26
396, 2021/01/26,90703,三安光電,"132,813,979",3.25
308, 2021/01/26,90563,法拉電子,"7,320,976",3.25
1355, 2021/01/26,72139,拓邦股份,"36,791,385",3.24
2128, 2021/01/26,77601,康泰生物,"22,246,993",3.24
2164, 2021/01/26,77699,光威複材,"16,842,777",3.24
232, 2021/01/26,90426,華魯恆升,"52,383,994",3.22
549, 2021/01/26,90998,九州通,"60,396,142",3.22
419, 2021/01/26,90745,聞泰科技,"26,255,553",3.2
1906, 2021/01/26,77132,青松股份,"16,530,907",3.2
2126, 2021/01/26,77595,歐普康視,"19,470,880",3.2
178, 2021/01/26,90329,中新藥業,"18,103,976",3.19
812, 2021/01/26,93369,今世緣,"40,089,626",3.19
1077, 2021/01/26,70630,銅陵有色,"334,546,714",3.17
1832, 2021/01/26,77003,樂普醫療,"57,305,203",3.17
39, 2021/01/26,90062,華潤雙鶴,"33,023,783",3.16
236, 2021/01/26,90436,PIEN TZE HUAN-A,"18,974,041",3.14
1312, 2021/01/26,72074,國軒高科,"40,086,951",3.13
184, 2021/01/26,90340,華夏幸福,"122,129,723",3.13
1743, 2021/01/26,72745,木林森,"46,388,162",3.12
905, 2021/01/26,93858,步長製藥,"35,708,147",3.12
611, 2021/01/26,91231,環旭電子,"67,545,022",3.09
656, 2021/01/26,91636,旗濱集團,"82,428,993",3.06
663, 2021/01/26,91689,拓普集團,"32,330,250",3.06
1462, 2021/01/26,72299,聖農發展,"38,081,698",3.05
459, 2021/01/26,90809,山西汾酒,"26,308,612",3.03
554, 2021/01/26,91003,柳鋼股份,"77,558,032",3.02
2091, 2021/01/26,77487,藍曉科技,"6,463,972",3.01
692, 2021/01/26,91869,長飛光纖,"3,197,833",3.0
1636, 2021/01/26,72555,三七互娛,"63,305,697",2.99
627, 2021/01/26,91360,三六零,"53,167,211",2.97
741, 2021/01/26,93043,廣州酒家,"11,906,615",2.94
244, 2021/01/26,90460,士蘭微,"38,677,148",2.94
864, 2021/01/26,93650,彤程新材,"3,846,713",2.92
2040, 2021/01/26,77369,綠盟科技,"23,282,307",2.91
1472, 2021/01/26,72311,海大集團,"48,347,089",2.91
1871, 2021/01/26,77070,碧水源,"92,158,833",2.91
1425, 2021/01/26,72249,大洋電機,"68,843,042",2.91
743, 2021/01/26,93056,德邦股份,"27,984,284",2.91
1155, 2021/01/26,70807,雲鋁股份,"90,603,238",2.89
2110, 2021/01/26,77529,健帆生物,"22,972,443",2.87
1466, 2021/01/26,72304,洋河股份,"43,290,531",2.87
213, 2021/01/26,90392,盛和資源,"50,271,242",2.86
1087, 2021/01/26,70661,長春高新,"11,598,976",2.86
1970, 2021/01/26,77251,光線傳媒,"83,862,085",2.85
839, 2021/01/26,93583,捷昌驅動,"4,218,037",2.85
119, 2021/01/26,90210,紫江企業,"43,368,392",2.85
2084, 2021/01/26,77470,中密控股,"5,605,398",2.84
1732, 2021/01/26,72714,牧原股份,"106,923,588",2.84
716, 2021/01/26,91966,玲瓏輪胎,"38,647,468",2.83
2123, 2021/01/26,77577,開潤股份,"6,812,847",2.83
1317, 2021/01/26,72081,金 螳 螂,"75,429,816",2.81
80, 2021/01/26,90125,鐵龍物流,"36,729,347",2.81
759, 2021/01/26,93127,昭衍新藥,"6,283,117",2.76
1183, 2021/01/26,70876,新 希 望,"124,249,061",2.75
1258, 2021/01/26,72001,新 和 成,"58,921,291",2.74
897, 2021/01/26,93801,志邦家居,"5,975,554",2.74
829, 2021/01/26,93517,絕味食品,"16,711,809",2.74
1349, 2021/01/26,72129,中環股份,"83,237,250",2.74
85, 2021/01/26,90138,中青旅,"19,786,744",2.73
1911, 2021/01/26,77142,沃森生物,"42,223,618",2.72
1196, 2021/01/26,70898,鞍鋼股份,"217,414,266",2.71
2058, 2021/01/26,77413,芒果超媒,"48,258,445",2.71
2150, 2021/01/26,77662,科銳國際,"4,968,884",2.71
358, 2021/01/26,90641,萬業企業,"25,824,741",2.69
1109, 2021/01/26,70703,恆逸石化,"99,357,916",2.69
86, 2021/01/26,90141,興發集團,"22,556,672",2.68
122, 2021/01/26,90219,南山鋁業,"320,484,714",2.68
1641, 2021/01/26,72563,森馬服飾,"72,310,909",2.68
1229, 2021/01/26,70961,中南建設,"102,247,372",2.67
567, 2021/01/26,91058,賽輪輪胎,"68,091,052",2.66
847, 2021/01/26,93599,廣信股份,"12,298,318",2.66
430, 2021/01/26,90763,通策醫療,"8,546,260",2.66
648, 2021/01/26,91607,上海醫藥,"50,754,924",2.63
834, 2021/01/26,93556,海興電力,"12,808,317",2.62
1527, 2021/01/26,72396,星網銳捷,"15,338,631",2.62
1190, 2021/01/26,70887,中鼎股份,"32,051,595",2.62
284, 2021/01/26,90522,中天科技,"80,329,304",2.61
1539, 2021/01/26,72414,高德紅外,"41,604,855",2.61
1800, 2021/01/26,72928,華夏航空,"26,362,694",2.6
69, 2021/01/26,90111,北方稀土,"94,590,388",2.6
936, 2021/01/26,93993,洛陽鉬業,"460,616,234",2.6
2007, 2021/01/26,77316,晶盛機電,"33,388,976",2.59
1086, 2021/01/26,70657,中鎢高新,"27,327,229",2.59
930, 2021/01/26,93960,克來機電,"6,662,726",2.58
707, 2021/01/26,91919,中遠海控,"222,671,257",2.57
702, 2021/01/26,91899,紫金礦業,"504,596,226",2.56
1244, 2021/01/26,70983,山西焦煤,"105,009,559",2.56
551, 2021/01/26,91000,唐山港,"152,092,041",2.56
1795, 2021/01/26,72916,深南電路,"12,573,085",2.56
1757, 2021/01/26,72791,堅朗五金,"8,190,029",2.54
595, 2021/01/26,91169,北京銀行,"537,348,735",2.54
1049, 2021/01/26,70568,瀘州老窖,"37,050,716",2.52
787, 2021/01/26,93279,景津環保,"4,793,660",2.51
140, 2021/01/26,90260,凱樂科技,"24,468,283",2.51
565, 2021/01/26,91021,春秋航空,"23,059,782",2.51
1730, 2021/01/26,72709,天賜材料,"13,681,244",2.5
154, 2021/01/26,90285,羚銳製藥,"14,222,112",2.5
1662, 2021/01/26,72600,領益智造,"176,470,519",2.5
693, 2021/01/26,91872,招商輪船,"140,288,030",2.5
1381, 2021/01/26,72180,納思達,"26,914,833",2.5
873, 2021/01/26,93686,龍馬環衛,"10,367,087",2.49
1852, 2021/01/26,77036,超圖軟件,"11,257,280",2.48
538, 2021/01/26,90984,建設機械,"21,365,260",2.48
191, 2021/01/26,90352,浙江龍盛,"80,802,712",2.48
642, 2021/01/26,91577,長沙銀行,"24,485,376",2.46
1796, 2021/01/26,72918,蒙娜麗莎,"9,996,969",2.46
169, 2021/01/26,90315,上海家化,"16,527,099",2.46
1412, 2021/01/26,72233,塔牌集團,"29,272,230",2.45
928, 2021/01/26,93956,威派格,"2,159,013",2.45
331, 2021/01/26,90600,青島啤酒,"17,084,846",2.45
1335, 2021/01/26,72110,三鋼閩光,"59,766,844",2.43
1432, 2021/01/26,72258,利爾化學,"12,774,276",2.43
1427, 2021/01/26,72251,步 步 高,"20,989,821",2.42
666, 2021/01/26,91699,潞安環能,"72,449,336",2.42
277, 2021/01/26,90511,國藥股份,"13,420,549",2.42
610, 2021/01/26,91229,上海銀行,"330,687,259",2.41
408, 2021/01/26,90729,重慶百貨,"9,818,134",2.41
496, 2021/01/26,90875,東方電氣,"48,104,852",2.4
311, 2021/01/26,90567,山鷹國際,"109,908,139",2.39
1436, 2021/01/26,72262,恩華藥業,"24,127,598",2.39
659, 2021/01/26,91668,中國建築,"960,901,020",2.37
279, 2021/01/26,90516,方大炭素,"90,296,918",2.37
207, 2021/01/26,90383,金地集團,"107,390,285",2.37
1821, 2021/01/26,72970,銳明技術,"4,090,136",2.36
647, 2021/01/26,91601,中國太保,"161,887,442",2.36
987, 2021/01/26,70096,廣聚能源,"12,504,542",2.36
1490, 2021/01/26,72340,格林美,"113,086,788",2.36
1951, 2021/01/26,77209,天澤信息,"9,952,106",2.34
517, 2021/01/26,90919,江蘇銀行,"342,177,158",2.33
2041, 2021/01/26,77373,揚傑科技,"11,031,388",2.33
376, 2021/01/26,90667,太極實業,"49,034,876",2.32
1401, 2021/01/26,72216,三全食品,"18,559,103",2.32
2077, 2021/01/26,77457,贏合科技,"15,043,423",2.31
793, 2021/01/26,93305,旭昇股份,"10,361,144",2.31
1281, 2021/01/26,72030,達安基因,"20,272,189",2.31
258, 2021/01/26,90486,揚農化工,"7,167,887",2.31
1787, 2021/01/26,72891,中寵股份,"4,542,703",2.31
860, 2021/01/26,93626,科森科技,"11,148,707",2.31
1363, 2021/01/26,72153,石基信息,"24,831,695",2.31
110, 2021/01/26,90188,兗州煤業,"68,404,652",2.31
51, 2021/01/26,90079,人福醫藥,"31,294,600",2.31
1667, 2021/01/26,72607,中公教育,"142,369,460",2.3
1128, 2021/01/26,70739,普洛藥業,"27,130,398",2.3
405, 2021/01/26,90720,祁連山,"17,846,135",2.29
868, 2021/01/26,93666,億嘉和,"907,919",2.29
2051, 2021/01/26,77395,菲利華,"7,759,183",2.29
2089, 2021/01/26,77482,萬孚生物,"7,842,177",2.28
522, 2021/01/26,90958,東方證券,"131,283,849",2.28
1714, 2021/01/26,72675,東誠藥業,"18,236,385",2.27
760, 2021/01/26,93128,華貿物流,"29,846,295",2.27
503, 2021/01/26,90886,國投電力,"157,706,195",2.26
324, 2021/01/26,90587,新華醫療,"9,127,666",2.26
518, 2021/01/26,90926,杭州銀行,"113,945,375",2.26
